,tweet_id,created_at,full_text,user_id,tweet_type,retweeted_id
0,1532424282449424384,Thu Jun 02 18:09:54 +0000 2022,WSJ/NORC poll released Thursday found 68% of respondents think the ruling legalizing abortion nationwide should not be overturned. That’s an increase of 10 points from a Gallup survey in June of last year that found 58% opposed overturning Roe v Wade  https://t.co/WJm7Qx2D1C,401142453,Original Tweet,
0,1532424282357514240,Thu Jun 02 18:09:54 +0000 2022,"#परमेश्वरकबीरांचा_मार्ग
Kabir Sahib is the Supreme God and Allah and he only created the infinite universes. 
Kabir Prakat Diwas 14June https://t.co/6hq6rCdYKo",1037426811771076608,Retweet,1532424190682611712
0,1532424282331967488,Thu Jun 02 18:09:54 +0000 2022,"Allah, please keep my mom alive till i'm successful one day. I owe her alot (:",458194299,Retweet,1532218725180375041
0,1532424281832968205,Thu Jun 02 18:09:54 +0000 2022,Republicans criminalize abortion but blame mass shootings on weed.,1305962144505135104,Retweet,1532149433965719553
0,1532424281547755522,Thu Jun 02 18:09:54 +0000 2022,@champagnem I am literally not allowed to talk to public servants without the government’s permission. Last time I tried to call a civil servant I got an angry email from the premier’s office.,224236940,Retweet,1531794050570891264
0,1532424281153486848,Thu Jun 02 18:09:54 +0000 2022,AFRICAN FATHERS AND THEIR STORIES 🤣🤣 https://t.co/GEPJhzPFo9,1035491235039985665,Retweet,1532288071693217795
0,1532424281077866498,Thu Jun 02 18:09:54 +0000 2022,“Depp’s core claim — women advance their careers by accusing powerful men of abuse — doesn’t even hold up to the evidence…Heard is ruined; Depp is in pre-production for his next role; other alleged abusers are already copying his legal strategy.” https://t.co/OPTMIJEXnl,569443134,Retweet,1532421281072746497
0,1532424280906027021,Thu Jun 02 18:09:54 +0000 2022,"The same society that says it’s perfectly normal and fine to take someone’s life because you were “tricked” (you weren’t) will say if a woman fights back, she’s no longer a victim and the abuse is “mutual”.",1139304927703048194,Retweet,1532360198651891714
0,1532424280230621186,Thu Jun 02 18:09:54 +0000 2022,@Kitaforpaj @AutSciPerson @2e_adult @ZoeYork_ The first chair refrigerator will be accompanied by the alto and soprano monitors. As a special guest star someone in the neighborhood with a drill.,989900426660143105,Retweet,1532376760930680834
0,1532424279970701312,Thu Jun 02 18:09:54 +0000 2022,"""The same forces of white supremacy that are withholding our access to abortion are the forces that have withheld the names and work of the people in your community [...] who are showing up every day[.]""

Decisions are made by those who show up. Go join.
https://t.co/brPR1lht4y",30903432,Retweet,1532395669369020417
